Attribute,Label,Description
time_of_day,592,AM Peak (7am - 10am)
time_of_day,593,Midday (10am - 3pm)
time_of_day,594,PM Peak (3pm - 7pm)
time_of_day,595,Off Peak (7pm - 7am)
distance_mi,1,0-0.5 mi
distance_mi,2,0.5-1 mi
distance_mi,3,1-2.5 mi
distance_mi,4,2.5-5 mi
distance_mi,5,5-7.5 mi
distance_mi,6,7.5-10 mi
distance_mi,7,10-15 mi
distance_mi,8,15-25 mi
distance_mi,9,25-50 mi
distance_mi,10,50-100 mi
distance_mi,11,100+ mi
wday_type,3,Sunday
wday_type,2,Saturday
wday_type,1,Weekday
origin_geo,-1,Externals
destination_geo,-1,Externals
